,Driver,Team,LapTimeQ1,PositionQ1,GapToKnockoutQ1,Year,GP,LapTimeQ2,PositionQ2,GapToKnockoutQ2,GridPosition,RacePosition,Status,Points,PositionDifference,ChampionshipPoints,LastRacePosition,TeamChampionshipPoints,TeammateLastRacePosition,LapTimeFP1,GapToFastestFP1,PositionFP1,LapTimeFP2,GapToFastestFP2,PositionFP2,LapTimeFP3,GapToFastestFP3,PositionFP3,StartingTyre,NumberOfPitStops,TyresUsed,MadeItToQ2,MadeItToQ3,DNF,Strategy,TyreSOFT,TyreMEDIUM,TyreHARD,TyreWET,TyreINTERMEDIATE,TyreUNKNOWN,MostPopularStrategy,AlternativeStrategy,Pitlane,DNFDriving,DNFMechanical
0,LEC,Ferrari,88.495,1,1.464,2019,Bahrain,88.046,1.0,1.425,1.0,3.0,Finished,16.0,-2.0,16.0,3.0,26.0,5.0,90.354,0.0,1.0,88.881,0.0349999999999965,2.0,89.569,0.0,1.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
1,VET,Ferrari,88.733,2,1.226,2019,Bahrain,88.356,2.0,1.11499999999999,2.0,5.0,Finished,10.0,-3.0,10.0,5.0,26.0,3.0,90.617,0.263000000000005,2.0,88.846,0.0,1.0,89.738,0.168999999999997,2.0,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-MEDIUM-SOFT,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
2,HAM,Mercedes,89.262,3,0.697000000000003,2019,Bahrain,88.578,3.0,0.893000000000001,3.0,1.0,Finished,25.0,2.0,25.0,1.0,43.0,2.0,91.601,1.247,4.0,89.449,0.603000000000009,3.0,90.334,0.765000000000001,3.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-SOFT-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
3,NOR,McLaren,89.381,4,0.578000000000003,2019,Bahrain,89.258,9.0,0.212999999999994,9.0,6.0,Finished,8.0,3.0,8.0,6.0,8.0,19.0,92.945,2.59100000000001,15.0,90.017,1.17100000000001,8.0,90.955,1.38600000000001,7.0,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-SOFT,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,0,0.0,0,0
4,BOT,Mercedes,89.498,5,0.460999999999999,2019,Bahrain,88.83,4.0,0.640999999999991,4.0,2.0,Finished,18.0,2.0,18.0,2.0,43.0,1.0,91.328,0.974000000000004,3.0,89.557,0.710999999999999,4.0,90.389,0.820000000000007,4.0,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
5,ALB,RB,89.514,6,0.444999999999993,2019,Bahrain,89.513,12.0,-0.0420000000000015,12.0,9.0,Finished,2.0,3.0,2.0,9.0,2.0,12.0,92.874,2.52000000000001,13.0,90.458,1.61200000000001,13.0,91.679,2.11,17.0,SOFT,1,"SOFT, MEDIUM",1.0,0.0,0,SOFT-SOFT-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
6,SAI,McLaren,89.528,7,0.430999999999997,2019,Bahrain,89.055,6.0,0.415999999999997,7.0,19.0,Collision damage,0.0,-12.0,0.0,19.0,8.0,6.0,91.952,1.59800000000001,7.0,90.192,1.346,11.0,90.965,1.396,9.0,SOFT,2,"SOFT, MEDIUM, HARD, SOFT",1.0,1.0,1,SOFT-MEDIUM-HARD-SOFT,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,1,0
7,MAG,Haas F1 Team,89.532,8,0.426999999999992,2019,Bahrain,89.017,5.0,0.453999999999994,6.0,13.0,+1 Lap,0.0,-7.0,0.0,13.0,0.0,20.0,92.602,2.248,12.0,90.0,1.154,7.0,91.54,1.971,13.0,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-SOFT,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,0,0.0,0,0
8,VER,Red Bull Racing,89.579,9,0.379999999999995,2019,Bahrain,89.109,7.0,0.361999999999995,5.0,4.0,Finished,12.0,1.0,12.0,4.0,16.0,8.0,91.673,1.319,5.0,89.725,0.879000000000005,6.0,90.959,1.39,8.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
9,GRO,Haas F1 Team,89.688,10,0.271000000000001,2019,Bahrain,89.249,8.0,0.221999999999994,11.0,20.0,Retired,0.0,-9.0,0.0,20.0,0.0,13.0,92.994,2.64,17.0,90.068,1.22200000000001,9.0,90.818,1.24900000000001,5.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,1,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,1,0
