"Driver","GP","Year","Team","LapTimeQ1","PositionQ1","GapToKnockoutQ1","LapTimeQ2","PositionQ2","GapToKnockoutQ2","GridPosition","RacePosition","Status","Points","PositionDifference","ChampionshipPoints","LastRacePosition","TeamChampionshipPoints","TeammateLastRacePosition","LapTimeFP1","GapToFastestFP1","PositionFP1","LapTimeFP2","GapToFastestFP2","PositionFP2","LapTimeFP3","GapToFastestFP3","PositionFP3","StartingTire","NumberOfPitStops","TiresUsed","MadeItToQ2","MadeItToQ3","DNF","Strategy","TireSOFT","TireMEDIUM","TireHARD","TireWET","TireINTERMEDIATE","TireUNKNOWN","MostPopularStrategy","AlternativeStrategy","Pitlane","DNFDriving","DNFMechanical"
"ALB","70th",2020,"Red Bull Racing",87.153,3,0.603999999999999,86.642,6,0.242999999999995,9,5,"Finished",10,4,100,5,318,1,87.28,1.11399999999999,6,86.96,1.354,11,87.474,0.852999999999994,8,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD",0,0,0,0
"ALB","Abu Dhabi",2019,"Red Bull Racing",96.102,2,1.608,96.718,7,0.141000000000005,5,6,"Finished",8,-1,66,6,344,2,98.084,1.127,4,97.288,1.03200000000001,6,96.927,0.361000000000004,4,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"ALB","Abu Dhabi",2020,"Red Bull Racing",96.106,7,0.968999999999994,95.654,4,0.628,5,4,"Finished",12,1,53,4,167,1,98.547,1.16900000000001,4,97.015,0.917999999999992,3,96.752,0.501000000000005,2,"SOFT",1,"SOFT, HARD",1,1,0,"SOFT-HARD",1,0,0,0,0,0,"MEDIUM-HARD",1,0,0,0
"ALB","Abu Dhabi",2022,"Williams",86.028,19,-0.245999999999995,NA,NA,NA,19,13,"+1 Lap",0,6,2,13,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",0,NA,0,"MEDIUM-HARD-MEDIUM",0,1,0,0,0,0,"MEDIUM-HARD-HARD",1,0,0,0
"ALB","Abu Dhabi",2023,"Williams",84.298,4,0.302000000000007,84.439,14,-0.161000000000001,14,14,"Finished",0,0,19,14,20,16,NA,NA,NA,86.081,1.27199999999999,16,84.929,0.510999999999996,4,"MEDIUM",1,"MEDIUM, HARD",1,0,0,"MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD",0,0,0,0
"ALB","Austin",2019,"Red Bull Racing",93.984,11,0.176999999999992,92.898,2,0.884,6,5,"Finished",10,1,48,5,275,3,94.316,0.259,4,94.234,1.00200000000001,6,93.983,0.677999999999997,6,"SOFT",1,"SOFT, MEDIUM, SOFT",1,1,0,"SOFT-MEDIUM-MEDIUM-SOFT",1,0,0,0,0,0,"MEDIUM-HARD-MEDIUM",1,0,0,0
"ALB","Austin",2022,"Williams",96.932,15,0,96.368,11,-0.027000000000001,8,13,"Finished",0,-5,2,13,4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,0,0,"MEDIUM-MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD-SOFT",1,0,0,0
"ALB","Austin",2023,"Williams",96.315,18,-0.102000000000004,NA,NA,NA,15,9,"Finished",2,6,17,9,18,10,96.492,0.579999999999998,7,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",0,NA,0,"MEDIUM-HARD-MEDIUM",0,1,0,0,0,0,"MEDIUM-HARD-MEDIUM-SOFT",1,0,0,0
"ALB","Australia",2019,"RB",82.757,9,0.209000000000003,82.636,13,-0.103999999999999,13,14,"+1 Lap",0,-1,3,14,4,10,85.23,1.631,13,84.675,2.075,17,84.328,2.036,15,"SOFT",1,"SOFT, MEDIUM",1,0,0,"SOFT-MEDIUM",1,0,0,0,0,0,"SOFT-HARD",1,0,0,0
"ALB","Australia",2022,"Williams",80.135,16,-0.0310000000000059,NA,NA,NA,20,10,"Finished",1,10,1,10,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HARD",1,"HARD, SOFT",0,NA,0,"HARD-SOFT",0,0,1,0,0,0,"MEDIUM-HARD",1,0,0,0
